n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
345,-87.1968,[4.9754 -5.0148 ],[0.0001 -0.0002 ],0.0002,[-0.0077 0.0315 ],0.0324,0.0071,127,0.0001
346,-87.1968,[4.9755 -5.0150 ],[0.0001 0.0000 ],0.0001,[-0.0502 -0.0121 ],0.0516,0.0026,127,0.0001
347,-87.1968,[4.9756 -5.0150 ],[0.0001 -0.0002 ],0.0002,[-0.0087 0.0290 ],0.0303,0.0077,127,0.0001
348,-87.1968,[4.9757 -5.0152 ],[0.0001 0.0000 ],0.0001,[-0.0480 -0.0115 ],0.0494,0.0027,127,0.0001
349,-87.1968,[4.9758 -5.0151 ],[0.0000 -0.0002 ],0.0002,[-0.0070 0.0291 ],0.0299,0.0070,127,0.0001
350,-87.1968,[4.9759 -5.0154 ],[0.0001 0.0000 ],0.0001,[-0.0459 -0.0108 ],0.0472,0.0027,127,0.0001
351,-87.1968,[4.9760 -5.0153 ],[0.0000 -0.0002 ],0.0002,[-0.0068 0.0279 ],0.0287,0.0071,127,0.0001
352,-87.1968,[4.9760 -5.0155 ],[0.0001 0.0000 ],0.0001,[-0.0444 -0.0107 ],0.0457,0.0026,127,0.0001
353,-87.1968,[4.9762 -5.0155 ],[0.0001 -0.0002 ],0.0002,[-0.0077 0.0257 ],0.0268,0.0077,127,0.0001
354,-87.1968,[4.9762 -5.0157 ],[0.0001 0.0000 ],0.0001,[-0.0425 -0.0102 ],0.0437,0.0027,127,0.0001
355,-87.1968,[4.9763 -5.0157 ],[0.0000 -0.0002 ],0.0002,[-0.0062 0.0258 ],0.0265,0.0070,127,0.0001
356,-87.1968,[4.9764 -5.0158 ],[0.0001 0.0000 ],0.0001,[-0.0407 -0.0096 ],0.0418,0.0027,127,0.0001
357,-87.1968,[4.9765 -5.0158 ],[0.0000 -0.0002 ],0.0002,[-0.0061 0.0247 ],0.0254,0.0071,127,0.0001
358,-87.1968,[4.9765 -5.0160 ],[0.0001 0.0000 ],0.0001,[-0.0393 -0.0095 ],0.0405,0.0027,127,0.0001
359,-87.1968,[4.9766 -5.0160 ],[0.0000 -0.0002 ],0.0002,[-0.0057 0.0238 ],0.0245,0.0070,127,0.0001
360,-87.1968,[4.9767 -5.0161 ],[0.0001 0.0000 ],0.0001,[-0.0376 -0.0089 ],0.0387,0.0027,127,0.0001
361,-87.1968,[4.9768 -5.0161 ],[0.0000 -0.0002 ],0.0002,[-0.0056 0.0228 ],0.0235,0.0071,127,0.0001
362,-87.1968,[4.9768 -5.0163 ],[0.0001 0.0000 ],0.0001,[-0.0364 -0.0088 ],0.0374,0.0026,127,0.0001
363,-87.1968,[4.9769 -5.0163 ],[0.0000 -0.0002 ],0.0002,[-0.0063 0.0210 ],0.0219,0.0077,127,0.0001
364,-87.1968,[4.9770 -5.0164 ],[0.0001 0.0000 ],0.0001,[-0.0348 -0.0083 ],0.0358,0.0027,127,0.0001
365,-87.1968,[4.9771 -5.0164 ],[0.0000 -0.0001 ],0.0002,[-0.0051 0.0211 ],0.0217,0.0070,127,0.0001
366,-87.1968,[4.9771 -5.0165 ],[0.0001 0.0000 ],0.0001,[-0.0333 -0.0079 ],0.0342,0.0027,127,0.0001
