n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[0.0774 -0.2322 ],0.2448,[-10.0000 30.0000 ],31.6228,0.0077,127,0.0001
2,8.3989,[0.0774 -0.2322 ],[0.1357 0.0277 ],0.1385,[-48.7065 -9.9451 ],49.7115,0.0028,127,0.0001
3,4.9167,[0.2132 -0.2045 ],[0.0466 -0.2094 ],0.2146,[-6.9730 31.3563 ],32.1223,0.0067,127,0.0001
4,1.4589,[0.2597 -0.4140 ],[0.1291 0.0284 ],0.1322,[-47.8303 -10.5252 ],48.9747,0.0027,127,0.0001
5,-1.8541,[0.3888 -0.3856 ],[0.0571 -0.2188 ],0.2261,[-7.6326 29.2700 ],30.2488,0.0075,127,0.0001
6,-5.2953,[0.4459 -0.6044 ],[0.1257 0.0323 ],0.1298,[-48.1676 -12.3686 ],49.7303,0.0026,127,0.0001
7,-8.5709,[0.5716 -0.5721 ],[0.0608 -0.2135 ],0.2220,[-7.8500 27.5753 ],28.6709,0.0077,127,0.0001
8,-11.8979,[0.6323 -0.7856 ],[0.1203 0.0307 ],0.1241,[-46.0872 -11.7588 ],47.5636,0.0026,127,0.0001
9,-14.8996,[0.7526 -0.7549 ],[0.0585 -0.2044 ],0.2127,[-7.5606 26.4093 ],27.4703,0.0077,127,0.0001
10,-17.9683,[0.8112 -0.9593 ],[0.1151 0.0292 ],0.1187,[-44.0967 -11.1787 ],45.4916,0.0026,127,0.0001
11,-20.7189,[0.9262 -0.9302 ],[0.0564 -0.1958 ],0.2038,[-7.2817 25.2928 ],26.3201,0.0077,127,0.0001
12,-23.5491,[0.9826 -1.1260 ],[0.1101 0.0277 ],0.1136,[-42.1924 -10.6267 ],43.5100,0.0026,127,0.0001
13,-26.0698,[1.0927 -1.0982 ],[0.0543 -0.1875 ],0.1952,[-7.0128 24.2235 ],25.2181,0.0077,127,0.0001
14,-28.6801,[1.1470 -1.2857 ],[0.1054 0.0264 ],0.1086,[-40.3704 -10.1014 ],41.6150,0.0026,127,0.0001
15,-30.9900,[1.2524 -1.2594 ],[0.0523 -0.1796 ],0.1870,[-6.7535 23.1994 ],24.1624,0.0077,127,0.0001
16,-33.3973,[1.3047 -1.4390 ],[0.1008 0.0251 ],0.1039,[-38.6272 -9.6017 ],39.8027,0.0026,127,0.0001
17,-35.5141,[1.4055 -1.4139 ],[0.0503 -0.1720 ],0.1792,[-6.5037 22.2187 ],23.1510,0.0077,127,0.0001
18,-37.7342,[1.4558 -1.5859 ],[0.0965 0.0238 ],0.0994,[-36.9594 -9.1263 ],38.0695,0.0026,127,0.0001
19,-39.6741,[1.5523 -1.5621 ],[0.0485 -0.1647 ],0.1717,[-6.2629 21.2796 ],22.1821,0.0077,127,0.0001
20,-41.7215,[1.6008 -1.7268 ],[0.0923 0.0226 ],0.0950,[-35.3637 -8.6740 ],36.4119,0.0026,127,0.0001
21,-43.4992,[1.6931 -1.7042 ],[0.0467 -0.1578 ],0.1645,[-6.0308 20.3802 ],21.2538,0.0077,127,0.0001
22,-45.3872,[1.7398 -1.8620 ],[0.0883 0.0215 ],0.0909,[-33.8369 -8.2438 ],34.8267,0.0026,127,0.0001
23,-47.0165,[1.8281 -1.8404 ],[0.0450 -0.1511 ],0.1576,[-5.8071 19.5188 ],20.3644,0.0077,127,0.0001
24,-48.7575,[1.8730 -1.9915 ],[0.0845 0.0204 ],0.0869,[-32.3762 -7.8345 ],33.3106,0.0026,127,0.0001
25,-50.2506,[1.9575 -1.9711 ],[0.0433 -0.1447 ],0.1511,[-5.5916 18.6940 ],19.5123,0.0077,127,0.0001
26,-51.8560,[2.0008 -2.1158 ],[0.0836 0.0201 ],0.0860,[-30.9787 -7.4451 ],31.8607,0.0027,127,0.0001
27,-53.2259,[2.0844 -2.0957 ],[0.0318 -0.1320 ],0.1357,[-4.5163 18.7633 ],19.2991,0.0070,127,0.0001
28,-54.5435,[2.1162 -2.2277 ],[0.0800 0.0189 ],0.0822,[-29.6413 -7.0167 ],30.4605,0.0027,127,0.0001
29,-55.8008,[2.1961 -2.2088 ],[0.0313 -0.1281 ],0.1319,[-4.3940 17.9863 ],18.5153,0.0071,127,0.0001
30,-57.0268,[2.2274 -2.3369 ],[0.0748 0.0181 ],0.0770,[-28.6636 -6.9208 ],29.4873,0.0026,127,0.0001
31,-58.1975,[2.3022 -2.3188 ],[0.0384 -0.1282 ],0.1338,[-4.9605 16.5554 ],17.2825,0.0077,127,0.0001
32,-59.4588,[2.3406 -2.4470 ],[0.0740 0.0177 ],0.0761,[-27.4263 -6.5767 ],28.2038,0.0027,127,0.0001
33,-60.5329,[2.4147 -2.4292 ],[0.0282 -0.1169 ],0.1202,[-4.0083 16.6162 ],17.0928,0.0070,127,0.0001
34,-61.5681,[2.4428 -2.5461 ],[0.0708 0.0167 ],0.0728,[-26.2424 -6.1981 ],26.9644,0.0027,127,0.0001
35,-62.5540,[2.5137 -2.5294 ],[0.0278 -0.1134 ],0.1168,[-3.8997 15.9282 ],16.3987,0.0071,127,0.0001
36,-63.5172,[2.5414 -2.6428 ],[0.0662 0.0160 ],0.0681,[-25.3767 -6.1136 ],26.1027,0.0026,127,0.0001
37,-64.4351,[2.6077 -2.6268 ],[0.0341 -0.1135 ],0.1185,[-4.4005 14.6614 ],15.3076,0.0077,127,0.0001
38,-65.4260,[2.6417 -2.7403 ],[0.0655 0.0157 ],0.0674,[-24.2813 -5.8096 ],24.9667,0.0027,127,0.0001
39,-66.2682,[2.7073 -2.7247 ],[0.0250 -0.1035 ],0.1065,[-3.5575 14.7148 ],15.1388,0.0070,127,0.0001
40,-67.0815,[2.7323 -2.8282 ],[0.0627 0.0148 ],0.0644,[-23.2332 -5.4749 ],23.8696,0.0027,127,0.0001
41,-67.8545,[2.7950 -2.8134 ],[0.0246 -0.1005 ],0.1034,[-3.4610 14.1056 ],14.5240,0.0071,127,0.0001
42,-68.6113,[2.8196 -2.9138 ],[0.0606 0.0146 ],0.0624,[-22.4667 -5.4006 ],23.1067,0.0027,127,0.0001
43,-69.3318,[2.8802 -2.8993 ],[0.0230 -0.0957 ],0.0984,[-3.2746 13.6074 ],13.9958,0.0070,127,0.0001
44,-70.0247,[2.9033 -2.9950 ],[0.0580 0.0137 ],0.0596,[-21.4968 -5.0898 ],22.0912,0.0027,127,0.0001
45,-70.6859,[2.9613 -2.9812 ],[0.0227 -0.0929 ],0.0956,[-3.1860 13.0439 ],13.4274,0.0071,127,0.0001
46,-71.3306,[2.9840 -3.0741 ],[0.0543 0.0131 ],0.0558,[-20.7878 -5.0202 ],21.3854,0.0026,127,0.0001
47,-71.9463,[3.0382 -3.0610 ],[0.0278 -0.0929 ],0.0970,[-3.5968 12.0061 ],12.5333,0.0077,127,0.0001
48,-72.6096,[3.0661 -3.1540 ],[0.0537 0.0129 ],0.0552,[-19.8904 -4.7707 ],20.4546,0.0027,127,0.0001
49,-73.1745,[3.1197 -3.1411 ],[0.0204 -0.0848 ],0.0872,[-2.9063 12.0503 ],12.3958,0.0070,127,0.0001
50,-73.7188,[3.1402 -3.2259 ],[0.0514 0.0121 ],0.0528,[-19.0318 -4.4960 ],19.5557,0.0027,127,0.0001
51,-74.2373,[3.1915 -3.2137 ],[0.0201 -0.0823 ],0.0847,[-2.8275 11.5514 ],11.8924,0.0071,127,0.0001
52,-74.7439,[3.2117 -3.2960 ],[0.0480 0.0116 ],0.0494,[-18.4040 -4.4347 ],18.9308,0.0026,127,0.0001
53,-75.2266,[3.2597 -3.2844 ],[0.0247 -0.0823 ],0.0859,[-3.1908 10.6326 ],11.1011,0.0077,127,0.0001
54,-75.7477,[3.2844 -3.3667 ],[0.0475 0.0114 ],0.0489,[-17.6096 -4.2142 ],18.1068,0.0027,127,0.0001
55,-76.1906,[3.3319 -3.3554 ],[0.0181 -0.0751 ],0.0772,[-2.5794 10.6714 ],10.9787,0.0070,127,0.0001
56,-76.6183,[3.3501 -3.4304 ],[0.0455 0.0107 ],0.0467,[-16.8495 -3.9714 ],17.3112,0.0027,127,0.0001
57,-77.0249,[3.3955 -3.4197 ],[0.0179 -0.0729 ],0.0750,[-2.5094 10.2296 ],10.5329,0.0071,127,0.0001
58,-77.4228,[3.4134 -3.4926 ],[0.0440 0.0106 ],0.0452,[-16.2936 -3.9175 ],16.7579,0.0027,127,0.0001
59,-77.8018,[3.4574 -3.4820 ],[0.0167 -0.0694 ],0.0714,[-2.3743 9.8683 ],10.1499,0.0070,127,0.0001
60,-78.1661,[3.4741 -3.5514 ],[0.0421 0.0100 ],0.0432,[-15.5902 -3.6921 ],16.0214,0.0027,127,0.0001
61,-78.5139,[3.5161 -3.5414 ],[0.0165 -0.0674 ],0.0694,[-2.3100 9.4596 ],9.7376,0.0071,127,0.0001
62,-78.8529,[3.5326 -3.6088 ],[0.0393 0.0095 ],0.0405,[-15.0760 -3.6416 ],15.5095,0.0026,127,0.0001
63,-79.1767,[3.5719 -3.5993 ],[0.0202 -0.0674 ],0.0704,[-2.6080 8.7070 ],9.0892,0.0077,127,0.0001
64,-79.5255,[3.5921 -3.6667 ],[0.0389 0.0093 ],0.0400,[-14.4252 -3.4606 ],14.8345,0.0027,127,0.0001
65,-79.8226,[3.6311 -3.6574 ],[0.0148 -0.0615 ],0.0632,[-2.1072 8.7390 ],8.9895,0.0070,127,0.0001
66,-80.1088,[3.6459 -3.7188 ],[0.0372 0.0088 ],0.0383,[-13.8025 -3.2614 ],14.1826,0.0027,127,0.0001
67,-80.3815,[3.6831 -3.7100 ],[0.0146 -0.0597 ],0.0614,[-2.0502 8.3772 ],8.6244,0.0071,127,0.0001
68,-80.6479,[3.6977 -3.7697 ],[0.0348 0.0084 ],0.0358,[-13.3472 -3.2169 ],13.7294,0.0026,127,0.0001
69,-80.9018,[3.7326 -3.7613 ],[0.0179 -0.0597 ],0.0623,[-2.3136 7.7109 ],8.0505,0.0077,127,0.0001
70,-81.1758,[3.7505 -3.8210 ],[0.0345 0.0082 ],0.0354,[-12.7710 -3.0569 ],13.1318,0.0027,127,0.0001
71,-81.4088,[3.7849 -3.8127 ],[0.0132 -0.0544 ],0.0560,[-1.8702 7.7390 ],7.9618,0.0070,127,0.0001
72,-81.6337,[3.7981 -3.8672 ],[0.0330 0.0078 ],0.0339,[-12.2198 -2.8808 ],12.5548,0.0027,127,0.0001
73,-81.8475,[3.8311 -3.8594 ],[0.0130 -0.0528 ],0.0544,[-1.8195 7.4186 ],7.6385,0.0071,127,0.0001
74,-82.0567,[3.8440 -3.9122 ],[0.0319 0.0077 ],0.0328,[-11.8166 -2.8417 ],12.1535,0.0027,127,0.0001
75,-82.2560,[3.8759 -3.9046 ],[0.0121 -0.0503 ],0.0518,[-1.7215 7.1566 ],7.3607,0.0070,127,0.0001
76,-82.4476,[3.8880 -3.9549 ],[0.0305 0.0072 ],0.0314,[-11.3065 -2.6782 ],11.6194,0.0027,127,0.0001
77,-82.6305,[3.9185 -3.9477 ],[0.0119 -0.0489 ],0.0503,[-1.6749 6.8603 ],7.0618,0.0071,127,0.0001
78,-82.8088,[3.9305 -3.9965 ],[0.0285 0.0069 ],0.0294,[-10.9336 -2.6415 ],11.2481,0.0026,127,0.0001
79,-82.9791,[3.9590 -3.9896 ],[0.0146 -0.0489 ],0.0510,[-1.8911 6.3144 ],6.5915,0.0077,127,0.0001
80,-83.1625,[3.9736 -4.0385 ],[0.0282 0.0068 ],0.0290,[-10.4616 -2.5102 ],10.7586,0.0027,127,0.0001
81,-83.3188,[4.0019 -4.0318 ],[0.0107 -0.0446 ],0.0459,[-1.5279 6.3377 ],6.5192,0.0070,127,0.0001
